,lane,x,y,yaw,width
2861,-2,-73.07585906982422,27.980993270874023,0.15919755399227142,3.5
2862,-1,-73.06613159179688,24.481006622314453,0.15919755399227142,3.5
2863,4,-73.04390716552734,16.48103904724121,180.15919494628906,3.5
2864,5,-73.0341796875,12.98105239868164,180.15919494628906,3.5
2865,-2,-72.07585906982422,27.9837703704834,0.15919755399227142,3.5
2866,-1,-72.06613159179688,24.483783721923828,0.15919755399227142,3.5
2867,4,-72.04390716552734,16.483816146850586,180.15919494628906,3.5
2868,5,-72.0341796875,12.983829498291016,180.15919494628906,3.5
2869,-2,-71.07586669921875,27.986549377441406,0.15919755399227142,3.5
2870,-1,-71.0661392211914,24.486562728881836,0.15919755399227142,3.5
2871,4,-71.04391479492188,16.486595153808594,180.15919494628906,3.5
2872,5,-71.03418731689453,12.986608505249023,180.15919494628906,3.5
2873,-2,-70.07586669921875,27.989328384399414,0.15919755399227142,3.5
2874,-1,-70.0661392211914,24.489341735839844,0.15919755399227142,3.5
2875,4,-70.04391479492188,16.4893741607666,180.15919494628906,3.5
2876,5,-70.03418731689453,12.989387512207031,180.15919494628906,3.5
2877,-2,-69.07587432861328,27.992107391357422,0.15919755399227142,3.5
2878,-1,-69.06614685058594,24.49212074279785,0.15919755399227142,3.5
2879,4,-69.0439224243164,16.49215316772461,180.15919494628906,3.5
2880,5,-69.03419494628906,12.992166519165039,180.15919494628906,3.5
2881,-2,-68.07587432861328,27.994884490966797,0.15919755399227142,3.5
2882,-1,-68.06614685058594,24.494897842407227,0.15919755399227142,3.5
2883,4,-68.0439224243164,16.494930267333984,180.15919494628906,3.5
2884,5,-68.03419494628906,12.994943618774414,180.15919494628906,3.5
2885,-2,-67.07588195800781,27.997663497924805,0.15919755399227142,3.5
2886,-1,-67.06615447998047,24.497676849365234,0.15919755399227142,3.5
2887,4,-67.04393005371094,16.497709274291992,180.15919494628906,3.5
2888,5,-67.0342025756836,12.997722625732422,180.15919494628906,3.5
2889,-2,-41.686771392822266,42.535579681396484,-90.1612319946289,3.5
2890,-1,-45.18675994873047,42.54542922973633,-90.1612319946289,3.5
2891,-2,-41.6895866394043,41.53558349609375,-90.1612319946289,3.5
2892,-1,-45.1895751953125,41.545433044433594,-90.1612319946289,3.5
2893,-2,-41.69239807128906,40.535587310791016,-90.1612319946289,3.5
2894,-1,-45.192386627197266,40.54543685913086,-90.1612319946289,3.5
2895,-2,-41.695213317871094,39.53559112548828,-90.1612319946289,3.5
2896,-1,-45.1952018737793,39.545440673828125,-90.1612319946289,3.5
2897,-2,-41.698028564453125,38.53559494018555,-90.1612319946289,3.5
2898,-1,-45.19801712036133,38.54544448852539,-90.1612319946289,3.5
2899,-2,-41.70083999633789,37.53559875488281,-90.1612319946289,3.5
2900,-1,-45.200828552246094,37.545448303222656,-90.1612319946289,3.5
2901,-2,-41.70365524291992,36.53560256958008,-90.1612319946289,3.5
2902,-1,-45.203643798828125,36.54545211791992,-90.1612319946289,3.5
2903,-2,-41.70647048950195,35.535606384277344,-90.1612319946289,3.5
2904,-1,-45.206459045410156,35.54545593261719,-90.1612319946289,3.5
2905,-2,-41.70928192138672,34.53561019897461,-90.1612319946289,3.5
2906,-1,-45.20927047729492,34.54545974731445,-90.1612319946289,3.5
2907,-2,-41.71209716796875,33.535614013671875,-90.1612319946289,3.5
2908,-1,-45.21208572387695,33.54546356201172,-90.1612319946289,3.5
2909,-2,-41.71491241455078,32.53561782836914,-90.1612319946289,3.5
2910,-1,-45.214900970458984,32.545467376708984,-90.1612319946289,3.5
2911,-2,-41.71772766113281,31.53562355041504,-90.1612319946289,3.5
2912,-1,-45.217716217041016,31.545473098754883,-90.1612319946289,3.5
2913,-2,-41.72053909301758,30.535627365112305,-90.1612319946289,3.5
2914,-1,-45.22052764892578,30.54547691345215,-90.1612319946289,3.5
2915,-2,-41.72335433959961,29.53563117980957,-90.1612319946289,3.5
2916,-1,-45.22334289550781,29.545480728149414,-90.1612319946289,3.5
2917,-2,-41.72616958618164,28.535634994506836,-90.1612319946289,3.5
2918,-1,-45.226158142089844,28.54548454284668,-90.1612319946289,3.5
2919,-2,-41.728981018066406,27.5356388092041,-90.1612319946289,3.5
2920,-1,-45.22896957397461,27.545488357543945,-90.1612319946289,3.5
2921,-2,-41.73179626464844,26.535642623901367,-90.1612319946289,3.5
2922,-1,-45.23178482055664,26.54549217224121,-90.1612319946289,3.5
2923,-2,-41.73461151123047,25.535646438598633,-90.1612319946289,3.5
2924,-1,-45.23460006713867,25.545495986938477,-90.1612319946289,3.5
2925,-2,-41.737422943115234,24.5356502532959,-90.1612319946289,3.5
2926,-1,-45.23741149902344,24.545499801635742,-90.1612319946289,3.5
2927,-2,-41.740238189697266,23.535654067993164,-90.1612319946289,3.5
2928,-1,-45.24022674560547,23.545503616333008,-90.1612319946289,3.5
2929,-2,-41.7430534362793,22.535659790039062,-90.1612319946289,3.5
2930,-1,-45.2430419921875,22.545509338378906,-90.1612319946289,3.5
2931,-2,-41.74586486816406,21.535663604736328,-90.1612319946289,3.5
2932,-1,-45.245853424072266,21.545513153076172,-90.1612319946289,3.5
2933,-2,-41.748680114746094,20.535667419433594,-90.1612319946289,3.5
2934,-1,-45.2486686706543,20.545516967773438,-90.1612319946289,3.5
2935,-2,-41.751495361328125,19.53567123413086,-90.1612319946289,3.5
2936,-1,-45.25148391723633,19.545520782470703,-90.1612319946289,3.5
2937,-2,-41.75430679321289,18.535675048828125,-90.1612319946289,3.5
2938,-1,-45.254295349121094,18.54552459716797,-90.1612319946289,3.5
2939,-2,-41.75712203979492,17.53567886352539,-90.1612319946289,3.5
2940,-1,-45.257110595703125,17.545528411865234,-90.1612319946289,3.5
2941,-2,-41.75993728637695,16.535682678222656,-90.1612319946289,3.5
2942,-1,-45.259925842285156,16.5455322265625,-90.1612319946289,3.5
2943,-2,-41.76274871826172,15.535686492919922,-90.1612319946289,3.5
2944,-1,-45.26273727416992,15.545536041259766,-90.1612319946289,3.5
2945,-2,-41.76556396484375,14.535690307617188,-90.1612319946289,3.5
2946,-1,-45.26555252075195,14.545539855957031,-90.1612319946289,3.5
2947,-2,-41.76837921142578,13.535694122314453,-90.1612319946289,3.5
2948,-1,-45.268367767333984,13.545543670654297,-90.1612319946289,3.5
2949,-2,-41.77119445800781,12.535697937011719,-90.1612319946289,3.5
2950,-1,-45.271183013916016,12.545547485351562,-90.1612319946289,3.5
2951,-2,-41.77400588989258,11.535701751708984,-90.1612319946289,3.5
2952,-1,-45.27399444580078,11.545551300048828,-90.1612319946289,3.5
2953,-2,-41.77682113647461,10.53570556640625,-90.1612319946289,3.5
2954,-1,-45.27680969238281,10.545555114746094,-90.1612319946289,3.5
2955,-2,-41.77963638305664,9.535709381103516,-90.1612319946289,3.5
2956,-1,-45.279624938964844,9.54555892944336,-90.1612319946289,3.5
2957,-2,-41.782447814941406,8.535713195800781,-90.1612319946289,3.5
2958,-1,-45.28243637084961,8.545562744140625,-90.1612319946289,3.5
2959,-2,-41.78526306152344,7.535717487335205,-90.1612319946289,3.5
2960,-1,-45.28525161743164,7.545566558837891,-90.1612319946289,3.5
2961,-2,-41.78807830810547,6.535721302032471,-90.1612319946289,3.5
2962,-1,-45.28806686401367,6.545570373535156,-90.1612319946289,3.5
2963,-2,-41.790889739990234,5.535725116729736,-90.1612319946289,3.5
2964,-1,-45.29087829589844,5.545574188232422,-90.1612319946289,3.5
2965,-2,-41.793704986572266,4.535728931427002,-90.1612319946289,3.5
2966,-1,-45.29369354248047,4.5455780029296875,-90.1612319946289,3.5
2967,-2,-41.7965202331543,3.5357325077056885,-90.1612319946289,3.5
2968,-1,-45.2965087890625,3.545581817626953,-90.1612319946289,3.5
2969,-2,-41.79933166503906,2.5357401371002197,-90.1612319946289,3.5
2970,-1,-45.299320220947266,2.5455894470214844,-90.1612319946289,3.5
2971,-2,-41.802146911621094,1.535744071006775,-90.1612319946289,3.5
2972,-1,-45.3021354675293,1.5455933809280396,-90.1612319946289,3.5
2973,-2,-41.804962158203125,0.5357478260993958,-90.1612319946289,3.5
2974,-1,-45.30495071411133,0.5455971956253052,-90.1612319946289,3.5
2975,-2,-41.80777359008789,-0.46424832940101624,-90.1612319946289,3.5
2976,-1,-45.307762145996094,-0.4543989896774292,-90.1612319946289,3.5
2977,-2,-41.81058883666992,-1.4642444849014282,-90.1612319946289,3.5
2978,-1,-45.310577392578125,-1.4543951749801636,-90.1612319946289,3.5
2979,-2,-28.72602081298828,28.104219436645508,0.15919755399227142,3.5
2980,-1,-28.71629524230957,24.604232788085938,0.15919755399227142,3.5
2981,4,-28.694067001342773,16.604265213012695,180.15919494628906,3.5
2982,5,-28.684343338012695,13.104278564453125,180.15919494628906,3.5
2983,-2,-27.726024627685547,28.106998443603516,0.15919755399227142,3.5
2984,-1,-27.716299057006836,24.607011795043945,0.15919755399227142,3.5
2985,4,-27.69407081604004,16.607044219970703,180.15919494628906,3.5
2986,5,-27.68434715270996,13.107057571411133,180.15919494628906,3.5
2987,-2,-26.726028442382812,28.10977554321289,0.15919755399227142,3.5
2988,-1,-26.7163028717041,24.60978889465332,0.15919755399227142,3.5
2989,4,-26.694074630737305,16.609821319580078,180.15919494628906,3.5
2990,5,-26.684350967407227,13.109834671020508,180.15919494628906,3.5
2991,-2,-25.726032257080078,28.1125545501709,0.15919755399227142,3.5
2992,-1,-25.716306686401367,24.612567901611328,0.15919755399227142,3.5
2993,4,-25.69407844543457,16.612600326538086,180.15919494628906,3.5
2994,5,-25.684354782104492,13.112613677978516,180.15919494628906,3.5
2995,-2,-24.726036071777344,28.115333557128906,0.15919755399227142,3.5
2996,-1,-24.716310501098633,24.615346908569336,0.15919755399227142,3.5
2997,4,-24.694082260131836,16.615379333496094,180.15919494628906,3.5
2998,5,-24.684358596801758,13.115392684936523,180.15919494628906,3.5
2999,-2,-23.72603988647461,28.118112564086914,0.15919755399227142,3.5
3000,-1,-23.7163143157959,24.618125915527344,0.15919755399227142,3.5
3001,4,-23.6940860748291,16.6181583404541,180.15919494628906,3.5
3002,5,-23.684362411499023,13.118171691894531,180.15919494628906,3.5
3003,-2,-22.726043701171875,28.12088966369629,0.15919755399227142,3.5
