,lane,x,y,yaw,width
82,-1,-428.38226318359375,204.14007568359375,-121.70142364501953,3.5
83,1,-431.36004638671875,205.97930908203125,58.29857635498047,3.5
84,-1,-428.9077453613281,203.28927612304688,-121.70142364501953,3.5
85,1,-431.8855285644531,205.12850952148438,58.29857635498047,3.5
86,-1,-429.4332275390625,202.4384765625,-121.70142364501953,3.5
87,1,-432.4110107421875,204.2777099609375,58.29857635498047,3.5
88,-1,-429.958740234375,201.5876922607422,-121.70142364501953,3.5
89,1,-432.9365234375,203.4269256591797,58.29857635498047,3.5
90,-1,-430.4842224121094,200.7368927001953,-121.70142364501953,3.5
91,1,-433.4620056152344,202.5761260986328,58.29857635498047,3.5
92,-1,-431.00970458984375,199.88609313964844,-121.70142364501953,3.5
93,1,-433.98748779296875,201.72532653808594,58.29857635498047,3.5
94,-1,-431.53521728515625,199.03529357910156,-121.70142364501953,3.5
95,1,-434.51300048828125,200.87452697753906,58.29857635498047,3.5
96,-1,-432.0606994628906,198.1844940185547,-121.70142364501953,3.5
97,1,-435.0384826660156,200.0237274169922,58.29857635498047,3.5
98,-1,-432.586181640625,197.3336944580078,-121.70142364501953,3.5
99,1,-435.56396484375,199.1729278564453,58.29857635498047,3.5
100,-1,-433.1116943359375,196.48289489746094,-121.70142364501953,3.5
101,1,-436.0894775390625,198.32212829589844,58.29857635498047,3.5
102,-1,-433.6371765136719,195.63211059570312,-121.70142364501953,3.5
103,1,-436.6149597167969,197.47134399414062,58.29857635498047,3.5
104,-1,-434.16265869140625,194.78131103515625,-121.70142364501953,3.5
105,1,-437.14044189453125,196.62054443359375,58.29857635498047,3.5
106,-1,-434.68817138671875,193.93051147460938,-121.70142364501953,3.5
107,1,-437.66595458984375,195.76974487304688,58.29857635498047,3.5
108,-1,-435.2136535644531,193.0797119140625,-121.70142364501953,3.5
109,1,-438.1914367675781,194.9189453125,58.29857635498047,3.5
110,-1,-435.7391357421875,192.22891235351562,-121.70142364501953,3.5
111,1,-438.7169189453125,194.06814575195312,58.29857635498047,3.5
112,-1,-436.2646484375,191.37811279296875,-121.70142364501953,3.5
113,1,-439.242431640625,193.21734619140625,58.29857635498047,3.5
114,-1,-436.7901306152344,190.52731323242188,-121.70142364501953,3.5
115,1,-439.7679138183594,192.36654663085938,58.29857635498047,3.5
116,-1,-437.31561279296875,189.676513671875,-121.70142364501953,3.5
117,1,-440.29339599609375,191.5157470703125,58.29857635498047,3.5
118,-1,-437.84112548828125,188.82571411132812,-121.70142364501953,3.5
119,1,-440.81890869140625,190.66494750976562,58.29857635498047,3.5
120,-1,-438.3666076660156,187.97491455078125,-121.70142364501953,3.5
121,1,-441.3443908691406,189.81414794921875,58.29857635498047,3.5
122,-1,-438.8921203613281,187.12411499023438,-121.70142364501953,3.5
123,1,-441.8699035644531,188.96334838867188,58.29857635498047,3.5
124,-1,-439.4176025390625,186.2733154296875,-121.70142364501953,3.5
125,1,-442.3953857421875,188.112548828125,58.29857635498047,3.5
126,-1,-439.9430847167969,185.4225311279297,-121.70142364501953,3.5
127,1,-442.9208679199219,187.2617645263672,58.29857635498047,3.5
128,-1,-440.4685974121094,184.5717315673828,-121.70142364501953,3.5
129,1,-443.4463806152344,186.4109649658203,58.29857635498047,3.5
130,-1,-440.99407958984375,183.72093200683594,-121.70142364501953,3.5
131,1,-443.97186279296875,185.56016540527344,58.29857635498047,3.5
132,-1,-441.5195617675781,182.87013244628906,-121.70142364501953,3.5
133,1,-444.4973449707031,184.70936584472656,58.29857635498047,3.5
134,-1,-442.0450744628906,182.0193328857422,-121.70142364501953,3.5
135,1,-445.0228576660156,183.8585662841797,58.29857635498047,3.5
136,-1,-442.570556640625,181.1685333251953,-121.70142364501953,3.5
137,1,-445.54833984375,183.0077667236328,58.29857635498047,3.5
138,-1,-443.0960388183594,180.31773376464844,-121.70142364501953,3.5
139,1,-446.0738220214844,182.15696716308594,58.29857635498047,3.5
140,-1,-443.6215515136719,179.46694946289062,-121.70142364501953,3.5
141,1,-446.5993347167969,181.30618286132812,58.29857635498047,3.5
142,-1,-444.14703369140625,178.61614990234375,-121.70142364501953,3.5
143,1,-447.12481689453125,180.45538330078125,58.29857635498047,3.5
144,-1,-444.67254638671875,177.76535034179688,-121.70142364501953,3.5
145,1,-447.65032958984375,179.60458374023438,58.29857635498047,3.5
146,-1,-445.1980285644531,176.91455078125,-121.70142364501953,3.5
147,1,-448.1758117675781,178.7537841796875,58.29857635498047,3.5
148,-1,-445.7184753417969,176.06985473632812,238.55494689941406,3.5
149,1,-448.7044982910156,177.89572143554688,418.554931640625,3.5
150,-1,-446.2281494140625,175.22784423828125,239.07086181640625,3.5
151,1,-449.23046875,177.02676391601562,419.07086181640625,3.5
152,-1,-446.730224609375,174.38128662109375,239.5867919921875,3.5
153,1,-449.74859619140625,176.15310668945312,419.5867919921875,3.5
154,-1,-447.2246398925781,173.53024291992188,240.10272216796875,3.5
155,1,-450.2588806152344,175.27481079101562,420.10272216796875,3.5
156,-1,-447.7113952636719,172.6748046875,240.61863708496094,3.5
157,1,-450.7611999511719,174.3919677734375,420.61865234375,3.5
158,-1,-448.1904296875,171.8149871826172,241.1345672607422,3.5
159,1,-451.25555419921875,173.50462341308594,421.13458251953125,3.5
160,-1,-448.6616516113281,170.95091247558594,241.65049743652344,3.5
161,1,-451.7419128417969,172.6128692626953,421.6505126953125,3.5
162,-1,-449.1251220703125,170.08261108398438,242.1664276123047,3.5
163,1,-452.22021484375,171.71676635742188,422.16644287109375,3.5
164,-1,-449.58074951171875,169.21018981933594,242.68234252929688,3.5
165,1,-452.6904296875,170.81642150878906,422.6823425292969,3.5
166,-1,-450.02850341796875,168.3336944580078,243.19827270507812,3.5
167,1,-453.15252685546875,169.91184997558594,423.1982727050781,3.5
168,-1,-450.4683532714844,167.4532012939453,243.71421813964844,3.5
169,1,-453.6064147949219,169.00315856933594,423.7142333984375,3.5
170,-1,-450.9002380371094,166.5687713623047,244.2301483154297,3.5
171,1,-454.0521545410156,168.0904083251953,424.23016357421875,3.5
172,-1,-451.32415771484375,165.68051147460938,244.74607849121094,3.5
173,1,-454.4896240234375,167.1737060546875,424.74609375,3.5
174,-1,-451.7400207519531,164.7884521484375,245.26199340820312,3.5
175,1,-454.9188537597656,166.25308227539062,425.2619934082031,3.5
176,-1,-452.14788818359375,163.89268493652344,245.77792358398438,3.5
